paper_idv, convert_time
2404.07193v1, 23.383859157562256
2404.07201v1, 33.508058071136475
2404.07191v1, 53.911967039108276
2404.07198v1, 55.303229331970215
2404.07204v1, 62.617961168289185
2403.16456v2, 76.0912504196167
2404.07199v1, 86.24978256225586
2404.07206v1, 86.53325343132019
2404.07205v1, 94.99843835830688
2310.00261v2, 97.84803915023804
2404.07194v1, 97.88945007324219
2403.12022v2, 107.48234367370605
2404.03053v2, 59.4055609703064
2404.07200v1, 130.1816647052765
2404.07189v1, 97.30640316009521
2404.07187v1, 69.95215106010437
2404.07192v1, 163.65758180618286
2311.12354v2, 86.56193161010742
2404.07203v1, 174.69384789466858
2404.07190v1, 155.73413705825806
2404.07184v1, 84.83572363853455
2210.13607v3, 183.11397409439087
2404.07185v1, 109.01555061340332
2403.05106v2, 114.59950947761536
2404.07202v1, 210.72339940071106
2212.14855v2, 90.48538136482239
2404.07186v1, 156.45397663116455
2404.07188v1, 179.413179397583
2404.07196v1, 242.19545578956604
2404.07179v1, 70.22952437400818
2404.07183v1, 153.0591778755188
2301.13134v2, 269.17004776000977
2310.02228v2, 44.86799192428589
2404.07174v1, 37.451626777648926
2402.03505v2, 112.00850081443787
2404.07181v1, 156.77744126319885
2212.11120v2, 23.067463397979736
2402.14793v3, 93.28067994117737
2404.07172v1, 27.67764663696289
2404.07182v1, 179.58944129943848
2404.07169v1, 35.68011784553528
2309.07575v2, 142.9422676563263
